Category,Province,Values in 2022 (100 million yuan),Values in 2021 (100 million yuan),Values in 2020 (100 million yuan),Values in 2019 (100 million yuan),Values in 2018 (100 million yuan),Values in 2017 (100 million yuan),Values in 2016 (100 million yuan),Values in 2015 (100 million yuan),Values in 2014 (100 million yuan),Values in 2013 (100 million yuan),Values in 2012 (100 million yuan),Values in 2011 (100 million yuan),Values in 2010 (100 million yuan),Values in 2009 (100 million yuan),Values in 2008 (100 million yuan),Values in 2007 (100 million yuan),Values in 2006 (100 million yuan),Values in 2005 (100 million yuan),Values in 2004 (100 million yuan),Values in 2003 (100 million yuan),Values in 2002 (100 million yuan),Values in 2001 (100 million yuan),Values in 2000 (100 million yuan),Values in 1999 (100 million yuan),Values in 1998 (100 million yuan),Values in 1997 (100 million yuan)
optional,Ningxia,218.80 ,210.70 ,194.34 ,200.85 ,105.30 ,160.92 ,145.41 ,136.97 ,139.07 ,133.44 ,124.66 ,109.99 ,89.50 ,74.52 ,56.32 ,48.11 ,39.69 ,38.65 ,31.75 ,27.96 ,25.29 ,23.45 ,21.60 ,20.52 ,19.64 ,18.48 
optional,Xinjiang,784.40 ,796.80 ,682.20 ,766.09 ,659.94 ,702.18 ,586.32 ,523.58 ,550.67 ,480.94 ,426.65 ,371.90 ,276.28 ,253.60 ,224.31 ,187.10 ,163.15 ,145.10 ,178.05 ,155.60 ,135.21 ,128.16 ,118.08 ,108.72 ,103.34 ,98.45 
public,Beijing,879.20 ,942.50 ,836.52 ,1025.33 ,759.18 ,1208.40 ,1060.97 ,983.87 ,948.10 ,883.58 ,816.31 ,808.95 ,712.01 ,556.64 ,505.74 ,502.61 ,458.29 ,404.66 ,283.09 ,253.80 ,235.56 ,218.53 ,190.12 ,167.54 ,154.45 ,135.79 
public,Tianjin,1061.10 ,871.10 ,815.55 ,787.73 ,521.58 ,780.40 ,725.31 ,729.09 ,720.72 ,725.05 ,683.56 ,632.10 ,585.37 ,471.01 ,320.63 ,294.06 ,252.86 ,227.16 ,285.05 ,244.48 ,230.88 ,203.98 ,178.83 ,155.82 ,133.16 ,113.63 
public,Hebei,3013.30 ,3104.00 ,2890.65 ,2916.01 ,2649.86 ,2497.88 ,2369.27 ,2359.09 ,2396.40 ,2377.59 ,2212.93 ,2046.22 ,1745.91 ,1491.92 ,1281.27 ,1161.63 ,971.50 ,702.00 ,724.34 ,611.96 ,554.91 ,498.81 ,415.79 ,359.85 ,313.40 ,276.61 
public,Shanxi,1198.50 ,1209.40 ,1068.18 ,1006.82 ,740.67 ,1052.14 ,930.75 ,892.81 ,797.13 ,891.66 ,847.44 ,756.29 ,654.08 ,523.38 ,476.52 ,437.62 ,383.38 ,351.19 ,235.77 ,203.77 ,177.60 ,157.20 ,146.01 ,137.67 ,123.80 ,111.31 
public,Inner Mongolia,1317.90 ,1262.40 ,1163.07 ,1202.71 ,936.56 ,1050.02 ,1141.97 ,1087.32 ,1313.68 ,1303.73 ,1185.30 ,1040.03 ,875.61 ,773.29 ,640.50 ,510.42 ,426.16 ,360.19 ,242.96 ,216.76 ,188.08 ,162.79 ,142.59 ,116.64 ,106.05 ,98.05 
public,Liaoning,1367.60 ,1293.60 ,1239.01 ,1313.36 ,1047.21 ,1310.02 ,1245.27 ,1702.80 ,1488.93 ,1384.09 ,1297.18 ,1143.17 ,926.81 ,790.56 ,715.17 ,642.83 ,565.67 ,509.37 ,613.03 ,495.67 ,425.41 ,394.50 ,350.46 ,314.48 ,271.96 ,224.03 
public,Jilin,592.10 ,650.00 ,582.11 ,574.40 ,574.40 ,603.12 ,558.38 ,529.79 ,518.05 ,486.18 ,462.13 ,420.98 ,373.93 ,341.76 ,318.84 ,275.76 ,236.82 ,208.10 ,180.21 ,152.27 ,138.92 ,129.06 ,119.10 ,121.77 ,109.37 ,110.30 
public,Heilongjiang,553.10 ,549.80 ,501.71 ,533.00 ,533.00 ,801.33 ,758.01 ,707.03 ,683.12 ,616.03 ,598.78 ,543.81 ,469.31 ,433.55 ,386.79 ,364.63 ,325.08 ,318.39 ,306.23 ,278.32 ,264.89 ,239.10 ,203.13 ,169.95 ,160.06 ,143.16 
