Category,Province,Values in 2022 (100 million yuan),Values in 2021 (100 million yuan),Values in 2020 (100 million yuan),Values in 2019 (100 million yuan),Values in 2018 (100 million yuan),Values in 2017 (100 million yuan),Values in 2016 (100 million yuan),Values in 2015 (100 million yuan),Values in 2014 (100 million yuan),Values in 2013 (100 million yuan),Values in 2012 (100 million yuan),Values in 2011 (100 million yuan),Values in 2010 (100 million yuan),Values in 2009 (100 million yuan),Values in 2008 (100 million yuan),Values in 2007 (100 million yuan),Values in 2006 (100 million yuan),Values in 2005 (100 million yuan),Values in 2004 (100 million yuan),Values in 2003 (100 million yuan),Values in 2002 (100 million yuan),Values in 2001 (100 million yuan),Values in 2000 (100 million yuan),Values in 1999 (100 million yuan),Values in 1998 (100 million yuan),Values in 1997 (100 million yuan)
Gross Regional Product,Beijing,41610.90 ,40269.60 ,36102.55 ,35371.28 ,30319.98 ,28014.94 ,25669.13 ,23014.59 ,21330.83 ,19500.56 ,17879.40 ,16251.93 ,14113.58 ,12153.03 ,10488.03 ,9353.32 ,7870.28 ,6886.31 ,4283.31 ,3663.10 ,3212.71 ,2845.65 ,2478.76 ,2174.46 ,2011.31 ,1810.09 
Gross Regional Product,Tianjin,16311.30 ,15695.00 ,14083.73 ,14104.28 ,18809.64 ,18549.19 ,17885.39 ,16538.19 ,15726.93 ,14370.16 ,12893.88 ,11307.28 ,9224.46 ,7521.85 ,6354.38 ,5050.40 ,4359.15 ,3697.62 ,2931.88 ,2447.66 ,2051.16 ,1840.10 ,1639.36 ,1450.06 ,1336.38 ,1240.40 
Gross Regional Product,Hebei,42370.40 ,40391.30 ,36206.89 ,35104.52 ,36010.27 ,34016.32 ,32070.45 ,29806.11 ,29421.15 ,28301.41 ,26575.01 ,24515.76 ,20394.26 ,17235.48 ,16188.61 ,13709.50 ,11660.43 ,10096.11 ,8768.79 ,7098.56 ,6122.53 ,5577.78 ,5088.96 ,4569.19 ,4256.01 ,3953.78 
Gross Regional Product,Shanxi,25642.60 ,22590.20 ,17651.93 ,17026.68 ,16818.11 ,15528.42 ,13050.41 ,12766.49 ,12761.49 ,12602.24 ,12112.83 ,11237.55 ,9200.86 ,7358.31 ,6938.73 ,5733.35 ,4752.54 ,4179.52 ,3042.41 ,2456.59 ,2017.54 ,1779.97 ,1643.81 ,1506.78 ,1601.11 ,1480.13 
Gross Regional Product,Inner Mongolia,23158.60 ,20514.20 ,17359.82 ,17212.53 ,17289.22 ,16096.21 ,18128.10 ,17831.51 ,17770.19 ,16832.38 ,15880.58 ,14359.88 ,11672.00 ,9740.25 ,7761.80 ,6091.12 ,4791.48 ,3895.55 ,2712.08 ,2150.41 ,1734.31 ,1545.79 ,1401.01 ,1268.20 ,1192.29 ,1094.52 
Gross Regional Product,Liaoning,28975.10 ,27584.10 ,25114.96 ,24909.45 ,25315.35 ,23409.24 ,22246.90 ,28669.02 ,28626.58 ,27077.65 ,24846.43 ,22226.70 ,18457.27 ,15212.49 ,13461.57 ,11023.49 ,9251.15 ,8009.01 ,6872.65 ,6002.54 ,5458.22 ,5033.08 ,4669.06 ,4171.69 ,3881.73 ,3490.06 
Gross Regional Product,Jilin,13070.20 ,13235.50 ,12311.32 ,11726.82 ,15074.62 ,14944.53 ,14776.80 ,14063.13 ,13803.14 ,12981.46 ,11939.24 ,10568.83 ,8667.58 ,7278.75 ,6424.06 ,5284.69 ,4275.12 ,3620.27 ,2958.21 ,2522.62 ,2246.12 ,2032.48 ,1821.19 ,1669.56 ,1557.78 ,1446.91 
Gross Regional Product,Heilongjiang,15901.00 ,14879.20 ,13698.50 ,13612.68 ,16361.62 ,15902.68 ,15386.09 ,15083.67 ,15039.38 ,14382.93 ,13691.58 ,12582.00 ,10368.60 ,8587.00 ,8310.00 ,7065.00 ,6188.90 ,5511.50 ,5303.00 ,4430.00 ,3882.16 ,3561.00 ,3253.00 ,2897.41 ,2832.84 ,2708.46 
Gross Regional Product,Shanghai,44652.80 ,43214.90 ,38700.58 ,38155.32 ,32679.87 ,30632.99 ,28178.65 ,25123.45 ,23567.70 ,21602.12 ,20181.72 ,19195.69 ,17165.98 ,15046.45 ,13698.15 ,12188.85 ,10366.37 ,9154.18 ,7450.27 ,6250.81 ,5408.76 ,4950.84 ,4551.15 ,4034.96 ,3688.20 ,3360.21 
Gross Regional Product,Jiangsu,122875.60 ,116364.20 ,102718.98 ,99631.52 ,92595.40 ,85869.76 ,77388.28 ,70116.38 ,65088.32 ,59161.75 ,54058.22 ,49110.27 ,41425.48 ,34457.30 ,30312.61 ,25741.15 ,21645.08 ,18305.66 ,15403.16 ,12460.83 ,10631.75 ,9511.91 ,8582.73 ,7697.82 ,7199.95 ,6680.34 
Gross Regional Product,Zhejiang,77715.40 ,73515.80 ,64613.34 ,62351.74 ,56197.15 ,51768.26 ,47251.36 ,42886.49 ,40173.03 ,37568.49 ,34665.33 ,32318.85 ,27722.31 ,22990.35 ,21486.92 ,18780.44 ,15742.51 ,13437.85 ,11243.00 ,9395.00 ,7796.00 ,6748.15 ,6036.34 ,5364.89 ,4987.50 ,4638.24 
Gross Regional Product,Anhui,45045.00 ,42959.20 ,38680.63 ,37113.98 ,30006.82 ,27018.00 ,24407.62 ,22005.63 ,20848.75 ,19038.87 ,17212.05 ,15300.65 ,12359.33 ,10062.82 ,8874.17 ,7364.18 ,6148.73 ,5375.12 ,4812.68 ,3972.38 ,3569.10 ,3290.13 ,3038.24 ,2908.59 ,2805.45 ,2669.95 
Gross Regional Product,Fujian,53109.90 ,48810.40 ,43903.89 ,42395.00 ,35804.04 ,32182.09 ,28810.58 ,25979.82 ,24055.76 ,21759.64 ,19701.78 ,17560.18 ,14737.12 ,12236.53 ,10823.11 ,9249.13 ,7614.55 ,6568.93 ,6053.14 ,5232.17 ,4682.01 ,4253.68 ,3920.07 ,3550.24 ,3330.18 ,3000.36 
Gross Regional Product,Jiangxi,32074.70 ,29619.70 ,25691.50 ,24757.50 ,21984.78 ,20006.31 ,18499.00 ,16723.78 ,15714.63 ,14338.50 ,12948.88 ,11702.82 ,9451.26 ,7655.18 ,6480.33 ,5500.25 ,4670.53 ,4056.76 ,3495.94 ,2830.46 ,2450.48 ,2175.68 ,2003.07 ,1962.98 ,1851.98 ,1715.18 
Gross Regional Product,Shandong,87435.10 ,83095.90 ,73129.00 ,71067.53 ,76469.67 ,72634.15 ,68024.49 ,63002.33 ,59426.59 ,54684.33 ,50013.24 ,45361.85 ,39169.92 ,33896.65 ,31072.06 ,25965.91 ,22077.36 ,18516.87 ,15490.73 ,12435.93 ,10552.06 ,9438.31 ,8542.44 ,7662.10 ,7162.20 ,6650.02 
Gross Regional Product,Henan,61345.10 ,58887.40 ,54997.07 ,54259.20 ,48055.86 ,44552.83 ,40471.79 ,37002.16 ,34938.24 ,32155.86 ,29599.31 ,26931.03 ,23092.36 ,19480.46 ,18407.78 ,15012.46 ,12495.97 ,10587.42 ,8815.09 ,7048.59 ,6168.73 ,5640.11 ,5137.66 ,4576.10 ,4356.60 ,4079.26 
Gross Regional Product,Hubei,53734.90 ,50012.90 ,43443.46 ,45828.31 ,39366.55 ,35478.09 ,32665.38 ,29550.19 ,27379.22 ,24668.49 ,22250.45 ,19632.26 ,15967.61 ,12961.10 ,11330.38 ,9230.68 ,7581.32 ,6520.14 ,6309.92 ,5401.71 ,4975.63 ,4662.28 ,4276.32 ,3857.99 ,3704.21 ,3450.24 
Gross Regional Product,Hunan,48670.40 ,46063.10 ,41781.49 ,39752.12 ,36425.78 ,33902.96 ,31551.37 ,28902.21 ,27037.32 ,24501.67 ,22154.23 ,19669.56 ,16037.96 ,13059.69 ,11156.64 ,9200.00 ,7568.89 ,6511.34 ,5612.26 ,4638.73 ,4340.94 ,3983.00 ,3691.88 ,3326.75 ,3211.40 ,2993.00 
Gross Regional Product,Guangdong,129118.60 ,124369.70 ,110760.94 ,107671.07 ,97277.77 ,89705.23 ,80854.91 ,72812.55 ,67809.85 ,62163.97 ,57067.92 ,53210.28 ,46013.06 ,39482.56 ,35696.46 ,31084.40 ,26204.47 ,22366.54 ,16039.46 ,13625.87 ,11769.73 ,10647.71 ,9662.23 ,8464.31 ,7919.12 ,7315.51 
Gross Regional Product,Guangxi,26300.90 ,24740.90 ,22156.69 ,21237.14 ,20352.51 ,18523.26 ,18317.64 ,16803.12 ,15672.89 ,14378.00 ,13035.10 ,11720.87 ,9569.85 ,7759.16 ,7171.58 ,5955.65 ,4828.51 ,4075.75 ,3320.10 ,2735.13 ,2455.36 ,2231.19 ,2050.14 ,1953.27 ,1903.04 ,2015.20 
Gross Regional Product,Hainan,6818.20 ,6475.20 ,5532.39 ,5308.93 ,4832.05 ,4462.54 ,4053.20 ,3702.76 ,3500.72 ,3146.46 ,2855.54 ,2522.66 ,2064.50 ,1654.21 ,1459.23 ,1223.28 ,1052.85 ,894.57 ,769.36 ,670.93 ,604.13 ,545.96 ,518.48 ,471.23 ,438.92 ,409.86 
Gross Regional Product,Chongqing,29129.00 ,27894.00 ,25002.79 ,23605.77 ,20363.19 ,19424.73 ,17740.59 ,15717.27 ,14262.60 ,12656.69 ,11409.60 ,10011.37 ,7925.58 ,6530.01 ,5096.66 ,4122.51 ,3491.57 ,3070.49 ,2665.39 ,2250.56 ,1971.30 ,1749.77 ,1589.34 ,1479.71 ,1429.26 ,1350.10 
Gross Regional Product,Sichuan,56749.80 ,53850.80 ,48598.76 ,46615.82 ,40678.13 ,36980.22 ,32934.54 ,30053.10 ,28536.66 ,26260.77 ,23872.80 ,21026.68 ,17185.48 ,14151.28 ,12506.25 ,10505.30 ,8637.81 ,7385.11 ,6556.01 ,5456.32 ,4875.12 ,4421.76 ,4010.25 ,3711.61 ,3580.26 ,3320.11 
Gross Regional Product,Guizhou,20164.60 ,19586.40 ,17826.56 ,16769.34 ,14806.45 ,13540.83 ,11776.73 ,10502.56 ,9266.39 ,8006.79 ,6852.20 ,5701.84 ,4602.16 ,3912.68 ,3333.40 ,2741.90 ,2282.00 ,1979.06 ,1591.90 ,1356.11 ,1185.04 ,1084.90 ,993.53 ,911.86 ,841.88 ,792.98 
Gross Regional Product,Yunnan,28954.20 ,27146.80 ,24521.90 ,23223.75 ,17881.12 ,16376.34 ,14788.42 ,13619.17 ,12814.59 ,11720.91 ,10309.47 ,8893.12 ,7224.18 ,6169.75 ,5700.10 ,4741.31 ,4006.72 ,3472.89 ,2959.48 ,2465.29 ,2232.32 ,2074.71 ,1955.09 ,1855.74 ,1793.90 ,1644.23 
Gross Regional Product,Tibet,2132.60 ,2080.20 ,1902.74 ,1697.82 ,1477.63 ,1310.92 ,1151.41 ,1026.39 ,920.83 ,807.67 ,701.03 ,605.83 ,507.46 ,441.36 ,395.91 ,342.19 ,291.01 ,251.21 ,211.54 ,184.50 ,161.42 ,138.73 ,117.46 ,105.61 ,91.18 ,76.98 
Gross Regional Product,Shaanxi,32772.70 ,29801.00 ,26181.86 ,25793.17 ,24438.32 ,21898.81 ,19399.59 ,18021.86 ,17689.94 ,16045.21 ,14453.68 ,12512.30 ,10123.48 ,8169.80 ,6851.32 ,5465.79 ,4523.74 ,3675.66 ,2883.51 ,2398.58 ,2035.96 ,1844.27 ,1660.92 ,1487.61 ,1381.53 ,1326.04 
Gross Regional Product,Gansu,11201.60 ,10243.30 ,9016.70 ,8718.30 ,8246.07 ,7459.90 ,7200.37 ,6790.32 ,6836.82 ,6268.01 ,5650.20 ,5020.37 ,4120.75 ,3387.56 ,3176.11 ,2702.40 ,2276.70 ,1933.98 ,1558.93 ,1304.60 ,1161.43 ,1072.51 ,983.36 ,931.98 ,869.75 ,781.34 
Gross Regional Product,Qinghai,3610.10 ,3346.60 ,3005.92 ,2965.95 ,2865.23 ,2624.83 ,2572.49 ,2417.05 ,2303.32 ,2101.05 ,1893.54 ,1670.44 ,1350.43 ,1081.27 ,961.53 ,783.61 ,641.58 ,543.32 ,465.73 ,390.21 ,341.11 ,300.95 ,263.59 ,238.39 ,220.16 ,202.05 
Gross Regional Product,Ningxia,5069.60 ,4522.30 ,3920.55 ,3748.48 ,3705.18 ,3443.56 ,3168.59 ,2911.77 ,2752.10 ,2565.06 ,2341.29 ,2102.21 ,1689.65 ,1353.31 ,1098.51 ,889.20 ,710.76 ,606.10 ,460.35 ,385.34 ,329.28 ,298.38 ,265.57 ,241.49 ,227.46 ,210.92 
Gross Regional Product,Xinjiang,17741.30 ,15983.60 ,13797.58 ,13597.11 ,12199.08 ,10881.96 ,9649.70 ,9324.80 ,9273.46 ,8360.24 ,7505.31 ,6610.05 ,5437.47 ,4277.05 ,4203.41 ,3523.16 ,3045.26 ,2604.19 ,2200.15 ,1877.61 ,1598.28 ,1485.48 ,1364.36 ,1168.55 ,1116.67 ,1050.14 
energy,Beijing,6605.10 ,7268.60 ,5716.37 ,5715.06 ,5711.06 ,5326.76 ,4944.44 ,4542.64 ,4544.80 ,4352.30 ,4059.27 ,3752.48 ,3388.38 ,2855.55 ,2693.15 ,2509.40 ,2191.43 ,2026.51 ,1610.37 ,1311.86 ,1116.53 ,1030.60 ,943.51 ,840.23 ,786.85 ,738.56 
energy,Tianjin,6038.90 ,5854.30 ,4804.08 ,4969.18 ,4549.02 ,7593.59 ,7571.35 ,7704.22 ,7731.85 ,7276.68 ,6663.82 ,5928.32 ,4840.23 ,3987.84 ,3821.07 ,2892.53 ,2488.29 ,2051.17 ,1560.16 ,1245.29 ,1001.90 ,904.64 ,820.17 ,711.93 ,660.00 ,643.88 
energy,Hebei,17050.10 ,16364.20 ,13597.20 ,13597.26 ,12507.26 ,15846.21 ,15256.93 ,14386.87 ,15012.85 ,14762.10 ,14003.57 ,13126.86 ,10707.68 ,8959.83 ,8777.42 ,7241.80 ,6115.01 ,5232.50 ,4635.23 ,3657.19 ,3046.00 ,2767.41 ,2559.96 ,2243.59 ,2084.33 ,1934.38 
energy,Shanxi,13840.80 ,11213.10 ,7675.44 ,7453.09 ,7154.09 ,6778.89 ,5028.99 ,5194.27 ,6293.91 ,6792.68 ,6731.56 ,6635.26 ,5234.00 ,3993.80 ,4265.77 ,3438.58 ,2748.33 ,2353.16 ,1810.08 ,1389.33 ,1083.79 ,917.98 ,827.59 ,760.72 ,856.13 ,789.45 
energy,Inner Mongolia,11241.80 ,9374.20 ,6868.03 ,6818.88 ,6218.88 ,6399.68 ,8553.63 ,9000.58 ,9119.79 ,9084.19 ,8801.50 ,8037.69 ,6367.69 ,5114.00 ,4271.03 ,3154.56 ,2327.44 ,1773.21 ,1332.47 ,973.94 ,728.34 ,626.47 ,556.28 ,515.46 ,479.53 ,445.50 
energy,Liaoning,11755.80 ,10875.20 ,9400.91 ,9531.24 ,9211.24 ,9199.80 ,8606.54 ,13041.97 ,14384.64 ,14269.46 ,13230.49 ,12152.15 ,9976.82 ,7906.34 ,7512.11 ,5853.10 ,4729.50 ,3953.28 ,3278.88 ,2898.89 ,2609.85 ,2440.55 ,2344.40 ,2001.48 ,1855.22 ,1743.87 
energy,Jilin,4628.30 ,4768.30 ,4326.22 ,4134.82 ,4004.02 ,6998.51 ,7004.95 ,7005.71 ,7286.59 ,6858.23 ,6376.77 ,5611.48 ,4506.31 ,3541.92 ,3064.63 ,2475.45 ,1915.29 ,1580.83 ,1379.31 ,1143.39 ,978.37 ,880.84 ,800.28 ,671.74 ,597.29 ,575.43 
energy,Heilongjiang,4648.90 ,3975.30 ,3483.51 ,3615.21 ,2815.01 ,4060.60 ,4400.69 ,4798.08 ,5544.41 ,5918.22 ,6037.61 ,6330.53 ,5204.11 ,4060.72 ,4365.90 ,3695.58 ,3365.31 ,2971.68 ,3155.33 ,2532.45 ,2169.15 ,1998.74 ,1868.55 ,1587.76 ,1506.76 ,1449.25 
energy,Shanghai,11458.40 ,11449.30 ,10289.47 ,10299.16 ,10339.16 ,9330.67 ,8406.28 ,7991.00 ,8167.71 ,8027.77 ,7854.77 ,7927.89 ,7218.32 ,6001.78 ,6235.92 ,5678.51 ,5028.37 ,4452.92 ,3788.22 ,3130.72 ,2564.69 ,2355.53 ,2163.68 ,1953.98 ,1847.20 ,1754.39 
energy,Jiangsu,55888.70 ,51775.40 ,44226.43 ,44270.51 ,42150.51 ,38654.87 ,34619.50 ,32044.45 ,30854.50 ,29094.03 ,27121.95 ,25203.28 ,21753.93 ,18566.37 ,16663.81 ,14306.40 ,12250.84 ,10355.03 ,8716.11 ,6787.11 ,5550.98 ,4907.46 ,4435.89 ,3920.15 ,3640.10 ,3411.86 
energy,Zhejiang,33205.20 ,31188.60 ,26412.95 ,26566.60 ,22566.30 ,22232.08 ,21194.61 ,19711.67 ,19175.06 ,18446.65 ,17316.32 ,16555.58 ,14297.93 ,11908.49 ,11580.33 ,10148.45 ,8509.57 ,7166.15 ,6045.00 ,4941.00 ,3982.00 ,3459.75 ,3183.47 ,2902.81 ,2709.08 ,2509.56 
energy,Anhui,18588.00 ,17613.20 ,15671.69 ,15337.90 ,10027.90 ,12838.28 ,11821.58 ,10946.83 ,11077.67 ,10403.96 ,9404.84 ,8309.38 ,6436.62 ,4905.22 ,4137.35 ,3289.12 ,2648.13 ,2221.17 ,2169.82 ,1780.60 ,1552.21 ,1415.32 ,1296.31 ,1278.91 ,1253.53 ,1260.90 
energy,Fujian,25078.20 ,22866.30 ,20328.80 ,20581.74 ,20101.72 ,15354.29 ,14093.47 ,13064.82 ,12515.36 ,11315.30 ,10187.94 ,9069.20 ,7522.83 ,6005.30 ,5415.77 ,4549.42 ,3743.71 ,3200.26 ,2950.33 ,2492.73 ,2159.94 ,1904.21 ,1711.16 ,1507.29 ,1444.73 ,1293.50 
energy,Jiangxi,14359.60 ,13183.20 ,11084.83 ,10939.83 ,10210.83 ,9627.98 ,8829.54 ,8411.57 ,8247.93 ,7671.38 ,6942.59 ,6390.55 ,5122.88 ,3919.45 ,3414.88 ,2840.92 ,2320.74 ,1917.47 ,1595.74 ,1227.38 ,951.77 ,788.12 ,700.76 ,758.15 ,740.33 ,658.25 
energy,Shandong,35014.20 ,33187.20 ,28612.19 ,28310.92 ,22210.91 ,32942.84 ,31343.67 ,29485.90 ,28788.11 ,27422.47 ,25735.73 ,24017.11 ,21238.49 ,18901.83 ,17702.17 ,14776.53 ,12751.20 ,10628.62 ,8724.52 ,6656.85 ,5309.54 ,4654.51 ,4244.40 ,3705.44 ,3457.03 ,3185.05 
energy,Henan,25465.00 ,24331.60 ,22875.33 ,23605.79 ,20105.79 ,21105.52 ,19275.82 ,17917.37 ,17816.56 ,17806.39 ,16672.20 ,15427.08 ,13226.38 ,11010.50 ,10477.92 ,8282.83 ,6724.61 ,5514.14 ,4515.35 ,3551.94 ,2951.06 ,2659.04 ,2413.78 ,2070.88 ,2012.74 ,1920.05 
energy,Hubei,21240.60 ,18952.90 ,17023.90 ,19098.62 ,11398.62 ,15441.75 ,14654.38 ,13503.56 ,12852.40 ,12171.56 ,11193.10 ,9815.94 ,7767.24 ,6038.08 ,4963.61 ,3966.68 ,3365.08 ,2810.01 ,2994.67 ,2580.58 ,2446.05 ,2313.66 ,2123.70 ,1887.93 ,1752.91 ,1606.98 
energy,Hunan,19182.60 ,18126.10 ,15937.69 ,14946.98 ,11246.98 ,14145.49 ,13341.17 ,12810.82 ,12482.06 ,11517.35 ,10506.42 ,9361.99 ,7343.19 ,5687.19 ,4933.08 ,3916.44 ,3151.70 ,2596.71 ,2214.41 ,1794.21 ,1737.20 ,1573.00 ,1461.86 ,1297.74 ,1294.17 ,1166.97 
energy,Guangdong,52843.50 ,50219.20 ,43450.17 ,43546.43 ,43236.43 ,38008.06 ,35109.66 ,32613.54 ,31419.75 ,29427.49 ,27700.97 ,26447.38 ,23014.53 ,19419.70 ,18402.64 ,15939.10 ,13431.82 ,11339.93 ,8890.29 ,7307.08 ,5935.63 ,5341.61 ,4868.75 ,4264.32 ,3991.97 ,3647.82 
energy,Guangxi,8938.60 ,8187.90 ,7108.49 ,7077.43 ,6877.43 ,7450.85 ,8273.66 ,7717.52 ,7324.96 ,6863.04 ,6247.43 ,5675.32 ,4511.68 ,3381.54 ,3037.74 ,2425.29 ,1878.56 ,1510.68 ,1288.26 ,1007.96 ,863.96 ,791.85 ,748.00 ,695.83 ,678.19 ,759.54 
energy,Hainan,1310.90 ,1238.80 ,1055.26 ,1099.03 ,899.00 ,996.35 ,905.95 ,875.82 ,875.97 ,871.29 ,804.47 ,714.50 ,571.00 ,443.43 ,434.40 ,364.26 ,287.86 ,220.07 ,180.41 ,151.16 ,125.33 ,111.25 ,102.45 ,94.95 ,90.63 ,82.68 
energy,Chongqing,11693.90 ,11184.90 ,9992.21 ,9496.84 ,9210.84 ,8584.61 ,7898.92 ,7069.37 ,6529.06 ,6397.92 ,5975.18 ,5543.04 ,4359.12 ,3448.77 ,2433.27 ,1892.10 ,1500.97 ,1259.12 ,1181.24 ,977.30 ,827.55 ,727.66 ,657.51 ,604.39 ,585.38 ,563.40 
energy,Sichuan,21157.10 ,19901.40 ,17571.11 ,17365.33 ,13865.33 ,14328.13 ,13448.92 ,13248.08 ,13962.41 ,13579.03 ,12333.28 ,11029.13 ,8672.18 ,6711.87 ,5790.10 ,4641.30 ,3775.19 ,3067.23 ,2690.00 ,2266.06 ,1982.44 ,1756.86 ,1700.49 ,1556.68 ,1527.07 ,1385.38 
energy,Guizhou,7113.00 ,6984.70 ,6211.62 ,6058.45 ,5858.42 ,5428.14 ,4669.53 ,4147.83 ,3857.44 ,3243.70 ,2677.54 ,2194.33 ,1800.06 ,1476.62 ,1408.71 ,1148.27 ,980.78 ,826.63 ,714.66 ,579.31 ,474.68 ,419.74 ,387.85 ,348.59 ,326.03 ,293.47 
energy,Yunnan,10471.20 ,9589.40 ,8287.54 ,7961.58 ,7861.58 ,6204.97 ,5690.16 ,5416.12 ,5281.82 ,4927.82 ,4419.20 ,3780.32 ,3223.49 ,2582.53 ,2451.09 ,2051.08 ,1712.60 ,1432.76 ,1314.19 ,1069.29 ,951.48 ,881.49 ,843.24 ,825.12 ,828.37 ,750.01 
energy,Tibet,804.70 ,757.30 ,798.25 ,635.62 ,622.62 ,513.65 ,429.17 ,376.19 ,336.84 ,292.92 ,242.85 ,208.79 ,163.92 ,136.63 ,115.76 ,98.48 ,80.10 ,63.52 ,57.61 ,47.99 ,32.93 ,32.18 ,27.21 ,24.00 ,20.24 ,16.95 
energy,Shaanxi,15933.10 ,13802.50 ,11362.58 ,11980.75 ,10000.75 ,10882.88 ,9490.72 ,9082.13 ,9577.24 ,8911.64 ,8073.87 ,6935.59 ,5446.10 ,4236.42 ,3842.08 ,2964.56 ,2440.50 ,1849.28 ,1416.82 ,1133.56 ,925.78 ,816.34 ,731.90 ,641.90 ,567.66 ,555.86 
energy,Gansu,3945.00 ,3466.60 ,2852.03 ,2862.42 ,2712.42 ,2561.79 ,2515.56 ,2494.77 ,2926.45 ,2821.04 ,2600.09 ,2377.83 ,1984.97 ,1527.24 ,1471.43 ,1279.32 ,1043.19 ,838.56 ,758.18 ,607.62 ,530.36 ,481.07 ,439.88 ,423.79 ,382.00 ,343.40 
energy,Qinghai,1585.70 ,1332.60 ,1143.55 ,1159.75 ,1009.75 ,1162.41 ,1249.98 ,1207.31 ,1234.31 ,1204.31 ,1092.34 ,975.18 ,744.63 ,575.33 ,529.40 ,417.78 ,331.16 ,264.61 ,227.06 ,184.26 ,154.01 ,132.18 ,114.00 ,97.88 ,88.42 ,78.80 
energy,Ningxia,2449.10 ,2021.60 ,1608.96 ,1584.72 ,1494.82 ,1580.57 ,1488.44 ,1379.60 ,1341.24 ,1264.96 ,1159.37 ,1056.15 ,827.91 ,662.32 ,581.24 ,451.82 ,349.83 ,281.23 ,239.42 ,192.00 ,151.16 ,134.37 ,120.04 ,102.68 ,94.01 ,87.65 
energy,Xinjiang,7271.10 ,5967.40 ,4744.45 ,4795.50 ,4705.60 ,4330.89 ,3647.01 ,3596.40 ,3948.96 ,3765.97 ,3481.56 ,3225.90 ,2592.15 ,1929.59 ,2086.74 ,1647.55 ,1459.30 ,1164.79 ,1010.07 ,796.84 ,672.10 ,630.37 ,586.84 ,460.71 ,430.73 ,413.29 
industry,Beijing,5036.40 ,5692.50 ,4216.48 ,4241.10 ,4151.20 ,4274.00 ,4026.68 ,3710.88 ,3746.77 ,3536.89 ,3294.32 ,3048.79 ,2763.99 ,2303.08 ,2198.49 ,2082.76 ,1821.86 ,1707.04 ,1290.16 ,1032.03 ,874.15 ,816.24 ,745.32 ,649.34 ,610.66 ,588.36 
industry,Tianjin,5402.70 ,5224.60 ,4188.13 ,4394.27 ,4304.37 ,6863.98 ,6805.13 ,6982.66 ,7079.10 ,6678.60 ,6123.06 ,5430.84 ,4410.85 ,3622.11 ,3533.86 ,2661.87 ,2292.73 ,1885.04 ,1436.73 ,1136.24 ,909.24 ,821.18 ,747.28 ,640.21 ,587.83 ,580.21 
industry,Hebei,14675.30 ,14097.70 ,11545.87 ,11503.03 ,11413.13 ,13757.84 ,13387.46 ,12626.17 ,13330.66 ,13194.76 ,12511.60 ,11770.38 ,9554.03 ,7983.86 ,7967.62 ,6555.24 ,5490.54 ,4665.21 ,4086.43 ,3212.96 ,2695.69 ,2439.56 ,2246.73 ,1950.21 ,1822.05 ,1701.42 
industry,Shanxi,12758.60 ,10159.30 ,6733.92 ,6569.51 ,6479.61 ,5771.22 ,4148.91 ,4359.60 ,5471.01 ,6032.99 ,6023.55 ,5959.96 ,4657.97 ,3518.88 ,3919.80 ,3141.89 ,2485.06 ,2117.68 ,1568.47 ,1192.74 ,921.99 ,779.78 ,706.39 ,650.62 ,745.47 ,703.02 
industry,Inner Mongolia,9703.80 ,7911.90 ,5547.53 ,5514.34 ,5424.44 ,5109.00 ,7233.00 ,7739.18 ,7904.40 ,7944.40 ,7735.78 ,7101.60 ,5618.40 ,4503.33 ,3798.60 ,2742.67 ,1978.19 ,1477.88 ,1015.66 ,721.59 ,573.30 ,506.69 ,455.21 ,428.33 ,399.42 ,374.34 
industry,Liaoning,10239.10 ,9339.80 ,7938.10 ,8164.55 ,8074.65 ,7302.41 ,6818.32 ,11270.82 ,12656.83 ,12510.27 ,11605.07 ,10696.54 ,8789.27 ,6925.63 ,6735.74 ,5199.89 ,4175.33 ,3489.58 ,2832.99 ,2556.82 ,2331.95 ,2190.12 ,2114.89 ,1795.71 ,1664.05 ,1567.56 
industry,Jilin,3737.90 ,3839.50 ,3501.19 ,3347.82 ,3257.92 ,6057.29 ,6070.07 ,6112.05 ,6424.88 ,6033.35 ,5582.48 ,4917.95 ,3929.31 ,3054.60 ,2686.98 ,2170.74 ,1659.29 ,1363.94 ,1142.08 ,929.28 ,803.53 ,724.73 ,655.68 ,552.34 ,504.12 ,495.10 
industry,Heilongjiang,4257.60 ,3658.80 ,3143.98 ,3291.05 ,3201.15 ,3332.59 ,3647.14 ,4053.77 ,4783.88 ,5090.34 ,5240.65 ,5602.76 ,4608.27 ,3549.73 ,3927.58 ,3326.90 ,3049.04 ,2696.30 ,2814.42 ,2248.59 ,1916.04 ,1767.79 ,1664.35 ,1399.85 ,1332.00 ,1304.86 
industry,Shanghai,10794.50 ,10738.80 ,9656.51 ,9670.68 ,9580.78 ,8392.84 ,7555.34 ,7162.33 ,7362.84 ,7236.69 ,7097.76 ,7208.59 ,6536.21 ,5408.75 ,5784.99 ,5298.08 ,4670.11 ,4129.52 ,3492.89 ,2865.85 ,2312.77 ,2121.19 ,1956.66 ,1758.68 ,1646.70 ,1580.15 
